# Benchmark Compactions (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.6256158	1.4114186	1.1105967	1.1063285	1.0745748	1.2794074	1.2514733
2	1.2384322	0.74538237	2.0412858	0.91963655	1.8437233	2.314454	2.3273447
3	1.234302	0.927937	0.8215894	0.7490459	0.71258044	1.9083678	1.5646818
4	1.2363046	1.1418246	0.7395102	0.5813661	0.5960795	1.7107766	1.309146
6	1.2303163	1.5279547	0.6934689	0.58734983	0.5890056	2.1330478	1.6721312
8	1.2839726	1.9852873	0.6604803	0.5944111	0.60708594	2.6313224	1.9639175
10	1.3196821	2.3181818	0.6092846	0.6041132	0.59635395	2.7810218	2.2177708
12	1.3128611	2.4580646	0.61248225	0.6044515	0.5931047	2.7900064	2.390478
14	0.9184629	2.5666733	0.5415778	0.5411932	0.5444459	2.762636	2.4322193
16	0.89178026	2.5153399	0.5085185	0.5087182	0.50589705	2.7392683	2.3821259
20	0.8605022	2.642056	0.464951	0.4638854	0.48649865	2.734065	2.2830455
24	0.79839754	2.3497188	0.4648676	0.47306722	0.48586002	2.6291862	2.3751376
28	0.76357204	2.4988425	0.46738347	0.48294374	0.4724289	2.245839	2.3148677
32	0.67814887	2.5784235	0.725999	0.51967746	0.6477324	2.6291862	2.3751376
