# Benchmark Compactions (n = 4,194,304, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 32 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	Multi-atomics 64 10 4	Work assisting
1	1.0728598	1.06294	0.9608096	0.95820445	0.96139044	0.9653979	0.96177804	1.1854935
2	1.6551257	0.8758445	1.4540994	1.4598837	1.2840879	1.2867893	1.4287982	1.6994016
3	1.9588192	1.1080686	1.3529862	1.3547535	1.3618302	2.099868	1.3823487	2.0445254
4	2.4223914	1.3107948	1.8462521	1.8486128	1.8461092	1.8555149	1.8730713	2.4724813
6	2.3405123	1.7713957	1.5368682	1.5444304	1.5527241	1.5591686	1.5152448	2.5873964
8	2.9701176	2.139321	2.8083942	2.8327396	2.7708793	2.7973614	2.8369508	3.027605
10	2.91941	2.4517703	2.280218	2.4079645	2.2993398	2.2719653	2.2241957	3.0109813
12	2.9154851	2.6587718	2.364524	2.4602413	2.267107	2.257666	2.209773	2.8863816
14	2.4636717	2.639502	2.2250257	2.3504286	2.161321	2.1355865	2.1322458	2.8806303
16	2.4257169	2.6259909	2.2755413	2.3348994	2.2084432	2.1921062	2.0447006	2.9016542
20	2.3115945	2.665456	2.2853515	2.1462505	2.0162709	2.0512059	1.9033352	2.8825448
24	2.3288586	2.7006114	2.1899931	2.2229521	1.9968609	2.0440874	1.8304558	2.8561423
28	2.2849138	2.7184615	2.04225	2.3279498	2.1441283	2.000545	1.7590517	2.8510218
32	2.5013895	2.5343425	2.0705235	2.3781965	2.3350136	2.0761096	2.0674727	2.7044384
