# Benchmark LUD (n = 256, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 1	Multi-atomics 32 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	Multi-atomics 64 10 4	Work assisting
1	1.0609996	1.0897332	1.105371	1.1135894	1.105371	1.0968267	1.121931
2	1.241824	1.3359762	1.3940021	1.3990659	1.3473263	1.4041667	1.4226913
3	1.3932817	1.5223038	1.561993	1.5710956	1.3954451	1.5821596	1.5896226
4	1.5556837	1.6057177	1.5962107	1.6998739	1.629988	1.9243398	1.7304236
6	1.7348777	1.6776602	1.7795379	1.9867355	1.6934674	2.0194757	1.9284693
8	1.840273	1.6550031	1.8277966	2.0470767	1.6934674	2.0285928	2.0362537
10	1.9650146	1.5905604	1.8118279	2.024024	1.6429007	2.0439727	1.9955589
12	1.9940828	1.6250753	1.7393548	1.9120567	1.6270368	2.0255446	2.0059524
14	1.9353912	1.3024155	1.5335609	1.5720117	1.315122	1.599051	1.5512083
16	1.6734947	1.1876652	1.5556837	1.4309978	1.1536157	1.4249471	1.3507015
20	1.4636265	1.0154426	1.2527881	1.3093735	1.0262657	1.2073444	1.2967772
24	1.622142	0.9625134	1.0809944	1.2260119	0.95977217	1.2182558	1.2327389
28	1.350025	0.9580668	1.0278307	1.1270903	0.8303049	1.0977199	1.1031096
32	1.2254546	0.9068281	1.0007424	1.0941558	0.9050017	0.9239205	1.1370729
