# Benchmark LUD (n = 512, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.8504459	0.93793803	0.9395516	0.936181	0.93442583	0.9328775
2	1.6138744	1.783903	1.7883452	1.775309	1.7780257	1.7777312
3	2.124639	2.5267408	2.5343938	2.5240488	2.527266	2.5267408
4	2.5702832	3.2291203	3.2316945	3.242206	3.284472	3.2864838
6	3.1507013	3.497249	3.387554	3.604074	3.8664024	3.8822842
8	3.3405914	3.5451665	3.682656	3.6231875	4.4522467	4.2451243
10	3.574973	3.9999342	4.039618	4.1841683	4.9976163	4.6177
12	4.128485	4.6118627	4.7524424	4.797691	5.7734766	5.110896
14	4.242755	4.8572226	4.72744	4.929948	5.8288226	5.459669
16	4.552813	4.908193	4.8206396	5.200804	6.0261974	5.466705
20	4.4149623	5.2848825	5.217763	5.0541115	6.1688538	5.436725
24	4.273969	4.9463906	5.241753	5.077606	5.572415	5.067732
28	5.0639334	5.5824766	5.8901806	5.3380837	5.606842	5.4375353
32	5.8631077	6.009719	6.1113977	5.900469	6.2354894	6.1908364
