# Benchmark Primes (2 .. 1,048,578)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 32	WorkAssisting 1	WorkAssisting 32
1	0.9995198	1.0023706	1.0016409	0.98948777	0.9987759	0.9988742	0.99271226	1.0011283	0.9959272
2	0.99675256	1.0012394	1.5661895	1.9431778	1.9428059	1.94183	1.9283161	1.9551108	1.9157798
3	0.99645895	0.9992369	2.10136	2.8540542	2.899309	2.8867831	2.8755867	2.8781352	2.6549265
4	0.99586004	0.99916923	2.4232159	3.4485908	3.811055	3.8051605	3.7819393	3.7895303	3.33573
6	0.9928337	0.9994829	3.3514283	3.868255	4.9210486	4.6761513	4.660314	4.7152605	3.8467188
8	0.99113065	0.9989541	3.676274	5.080572	6.094055	5.5207233	5.538614	5.202999	4.2849603
10	0.98665583	0.9991877	3.6896403	6.3975573	6.849032	6.4774404	6.494021	6.439932	4.264478
12	0.9823519	0.9985609	4.15035	7.6001687	7.7153716	7.6005244	7.3447323	7.5129557	4.161626
14	0.9830656	0.99617165	3.6088638	7.8766856	7.8950696	7.69599	7.3235307	7.816396	4.082931
16	0.97832114	0.9987575	4.05317	8.205064	8.223764	7.780067	7.354713	7.691251	4.1571507
20	0.9793892	0.9989111	3.9149828	9.622497	8.960816	8.060465	7.3570457	7.8126354	3.8846357
24	0.96863294	0.99674034	5.058886	10.484954	10.038952	9.271399	8.210042	8.7630205	3.8596115
28	0.9655111	0.9963	4.6876264	11.4128065	10.697721	10.091361	8.714577	9.29688	3.9937525
32	0.95856285	0.9957135	4.987866	12.940942	11.475722	12.803185	10.6131115	11.018594	5.3244796
