# Benchmark Primes (2 .. 1,048,578)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.97822696	1.0091729	1.0240749	1.0117711	1.022456	1.0226008	1.0237658	1.0242767	1.0233687
2	1.6738999	1.4276451	1.5949016	1.9720623	1.976494	1.9771992	1.982481	1.9979928	1.988909
3	1.9375386	1.8179482	2.174826	2.895828	2.9410672	2.9476905	2.959129	2.9442446	2.8465872
4	2.5493429	2.1821344	2.5092833	3.5378182	3.883088	3.8909955	3.9019554	3.8871741	3.6763015
6	3.3544202	2.888632	3.4363115	4.521679	4.776456	4.7687826	4.81408	5.3568897	4.5744357
8	3.7552805	3.402411	3.6399965	5.2974825	5.717455	5.6809173	5.8447013	6.224165	5.8236117
10	4.2640758	3.548239	3.8052237	6.502699	6.8587284	6.666466	6.9391804	7.074131	6.7660465
12	5.6685195	3.900399	4.2793336	8.227419	7.586136	7.5934134	7.6514316	8.00284	7.5705895
14	7.5390024	3.6911583	3.675651	8.919622	7.560604	7.5585413	7.6321106	7.9951425	7.605921
16	7.818776	3.9756775	4.32622	9.342194	7.537635	7.59376	7.653193	8.014415	7.627208
20	8.129249	4.336716	4.0052767	9.823603	7.594454	7.601747	7.6507273	8.033005	7.708913
24	7.929546	5.1215415	4.8613834	11.088247	8.369079	8.454634	8.522249	8.932083	8.635136
28	7.633863	5.3413982	6.3718424	11.907099	8.364446	8.396555	8.968224	9.008562	8.848406
32	7.409958	5.7802773	5.161616	13.162958	13.082159	9.434449	10.175992	9.980488	9.191872
