# Benchmark Scans (n = 4,194,304, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 32 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	Multi-atomics 64 10 4	Work assisting
1	0.95660204	0.9746002	0.9777275	0.9751506	0.98013246	0.9682243	0.96050435	0.9319899
2	0.9585492	1.0848168	0.7188454	0.7054337	0.7241717	0.67650515	0.6789881	1.1092077
3	0.94663745	1.4018945	0.80760837	0.7971684	0.7580858	0.6984897	0.69604945	1.401136
4	0.9548387	1.5943367	0.7979051	0.8012374	0.74575293	0.687915	0.6930693	1.6197623
6	0.92516524	1.6742082	0.7412707	0.6744792	0.7178492	0.67395264	0.69158876	1.6439226
8	0.93434346	1.6330391	0.72824407	0.62780267	0.74779844	0.6656386	0.6744792	1.650207
10	0.9164897	1.5802319	0.73694694	0.76934505	0.7505071	0.68545717	0.68773234	1.6330391
12	0.90527785	1.5792683	0.7253886	0.78413564	0.73989433	0.6727273	0.66769785	1.5654277
14	0.9005563	1.5569582	0.72265625	0.80310076	0.72793704	0.6306306	0.6373032	1.5384616
16	0.7597536	1.509324	0.7199444	0.77836215	0.7123212	0.65636086	0.6279549	1.4678379
20	0.7351689	1.5080059	0.7028494	0.8305275	0.7178492	0.60962695	0.5863045	1.5106446
24	0.7008524	1.5253239	0.70246816	0.86290187	0.7185463	0.58610547	0.57948315	1.1054204
28	0.6772127	1.4034137	0.69177353	0.90765727	0.71984434	0.5761958	0.5709247	1.3110605
32	0.60962695	1.3412739	0.6862745	0.89141285	0.79180676	0.57941836	0.5307921	1.2943528
