# Benchmark Scans (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	1.0327945	1.0251932	1.0263401	1.003626	1.0039555	1.0076894	1.0252259
2	1.3711565	1.1062796	1.3588252	1.368614	1.3674191	1.3685265	1.3717716
3	1.4700334	1.2983279	1.4285015	1.4365548	1.416777	1.4735755	1.4664414
4	1.4568926	1.3693144	1.4490353	1.4485123	1.460106	1.4706395	1.4591106
6	1.4434329	1.3773621	1.4247298	1.4285333	1.4212612	1.4302197	1.4122589
8	1.3632678	1.3877507	1.4191253	1.4164644	1.4097785	1.4328365	1.4024811
10	1.4307933	1.3751794	1.4068751	1.4107696	1.3998518	1.4185296	1.3975364
12	1.4153718	1.3559272	1.4004929	1.402083	1.3915701	1.4058586	1.37686
14	1.4109555	1.3429396	1.3919019	1.3841014	1.3711272	1.3958654	1.3725926
16	1.3468267	1.3672734	1.400829	1.3996687	1.3864622	1.3960476	1.3704834
20	1.3376802	1.3593717	1.3978101	1.3952589	1.38434	1.3784266	1.3447113
24	1.333098	1.3525001	1.387181	1.3876307	1.3798482	1.3621399	1.323727
28	1.3163732	1.342771	1.3846983	1.3857143	1.3727393	1.3531271	1.3211398
32	1.2977506	1.2357402	1.3195109	1.3070488	1.3043407	1.2807963	1.2461237
