# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 32	WorkAssisting 1	WorkAssisting 32
1	0.99440354	0.91906923	0.92469794	0.9224715	0.936179	0.935736	0.9178995
2	1.7682301	1.4254389	1.4378768	1.4478955	1.4331704	1.3931729	1.4194318
3	2.1229048	1.8338219	1.6681906	1.6217625	1.7047945	1.8251951	1.7241175
4	2.350859	1.850708	1.9317745	1.7799878	1.7767376	2.2403698	2.0390167
6	2.7331133	3.2920358	2.687933	2.605781	2.4136152	3.0200512	2.674914
8	3.2163806	4.2954946	3.4405904	3.3281393	3.0639777	3.807279	3.271655
10	3.249629	5.0977964	4.1425195	4.094103	3.7208498	4.5573564	3.874905
12	3.3637512	5.9567585	5.180074	4.8030243	4.2945914	5.2582774	4.3562393
14	3.4067466	6.3848557	5.1621895	5.2429867	4.5217233	5.5977535	4.764203
16	3.2655551	6.5103016	5.464034	5.4806437	5.0973725	5.808319	4.9083996
20	3.1595197	7.0242925	6.2532897	6.127649	5.3805847	6.535288	5.3673935
24	2.8318474	7.8010945	6.872309	6.6769414	5.817138	7.418734	6.0562143
28	2.615342	7.970485	7.856081	8.0532055	6.213359	8.718675	6.5801845
32	2.572214	8.890645	8.483394	8.398548	6.679852	8.949051	6.976329
