# Benchmark Sort (n = 262,144)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 32	WorkAssisting 1	WorkAssisting 32
1	0.5088932	0.61926043	0.62135667	0.6176098	0.5827012	0.97100854	0.95810735
2	0.95114404	1.0391883	1.0494505	1.025243	1.0471957	1.431581	1.3714341
3	1.3682479	1.4073484	1.4599731	1.4459335	1.3451984	1.742357	1.6304072
4	1.771844	1.7897936	2.0179896	1.8094994	1.7161243	2.1899598	1.9169945
6	2.1473715	2.5563393	2.4932086	2.8868463	2.2420685	2.8675187	2.4021075
8	2.4615116	3.15773	3.0893989	3.4016848	3.0712733	3.4148345	2.726466
10	2.609675	3.6531403	3.5450213	3.8272407	3.3178403	3.9502516	3.1084232
12	2.718077	4.0475373	3.5290887	4.367738	3.6635563	4.3867164	3.4164853
14	2.414005	3.6185355	4.280436	4.35831	3.679771	4.422403	3.09075
16	2.5024788	5.1583943	4.221625	4.3758516	3.7560458	4.4003735	3.5255675
20	2.383072	5.071403	4.250827	4.5055785	3.5405812	4.550547	3.5863993
24	2.1862335	4.9978786	4.1255107	4.446052	3.6826472	4.4044876	3.5982687
28	2.0237687	4.70506	4.641708	4.9575586	3.8872387	4.8670797	4.0979996
32	1.9740224	4.444654	4.4348917	3.518546	4.1159	3.498515	3.1187115
