# Benchmark Sum array (n = 67,110,098)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 32	WorkAssisting 1	WorkAssisting 32
1	1.0227478	1.0109863	1.2824326	1.2323751	1.5630394	1.5634712	0.9507959	1.5604535	1.291763
2	1.0173929	1.0012163	1.5735785	1.8997567	2.29438	2.2946126	1.4087684	2.5011048	1.1722897
3	1.011551	0.9967417	2.2995074	2.2081058	2.837135	2.833229	1.8632454	2.490511	0.4737266
4	1.0043033	0.99744445	2.5349944	2.5677745	3.1434424	3.1629872	2.290202	2.7559655	0.39267468
6	1.0000442	0.9942901	2.9309897	3.1271584	3.3908777	3.3564386	2.9827392	3.0925546	0.47457573
8	0.98432475	0.98584646	2.8890946	3.30113	3.3537037	3.3497336	3.0286307	3.1104012	0.6445574
10	0.9784112	0.9862975	2.861522	3.3197682	3.309334	3.3403423	3.0713656	3.0898108	0.7938804
12	0.9766383	0.9785381	3.080351	3.268481	3.2956035	3.2905734	2.9464402	3.1023023	0.9177799
14	0.97171247	0.97365594	3.1541731	3.1987424	3.2242558	3.2450545	2.9033604	3.0578818	1.0396335
16	0.962356	0.9692578	2.8208723	3.1609998	3.2309284	3.221732	2.9591503	3.0782568	1.1530626
20	0.95061624	0.95864743	3.094457	3.1946797	3.149127	3.1565921	2.876795	3.079513	1.2887845
24	0.93624634	0.94640356	2.928904	3.106986	3.0778382	3.1228445	2.8689563	2.9713855	1.4506104
28	0.9242814	0.934295	2.956252	3.0622253	3.079513	3.041857	2.8516092	3.0436976	1.5786812
32	0.91379726	0.92309415	2.653402	2.7735236	2.7211804	2.9933884	2.5458276	2.6840763	1.669186
