# Benchmark Sum array (n = 67,110,098)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.6371936	0.83041644	0.83058435	0.6960542	0.98943603	0.992133	0.9827068	0.9768975	0.78912127
2	1.2147866	1.1445289	1.5765119	1.041887	1.7156324	1.5250067	1.4318295	1.3696947	1.135938
3	1.4397156	1.241698	1.2186481	1.2468671	1.8308818	1.8167688	1.7563986	1.5622928	1.1060507
4	2.045238	1.7487077	1.5516702	1.5116976	2.0011134	2.0277855	1.9841292	1.745523	1.1081394
6	2.1448605	2.2011788	1.9175725	1.9629984	2.1368906	2.1837928	2.107292	1.9892079	1.3505237
8	2.1760254	2.1921172	1.8165393	2.1077554	2.1482255	2.1451805	2.1264606	1.9941744	1.5801506
10	2.1419845	1.9138712	1.8141325	2.1214402	2.0965366	2.128507	2.0714645	2.004182	1.6457188
12	2.1091468	2.0771508	1.946257	2.0693774	2.089984	2.0825667	2.0285008	1.9979155	1.6938031
14	2.091352	2.1337192	2.0443654	2.064178	2.053857	2.0520983	2.0068398	1.9588528	1.6751529
16	2.0390015	2.1222231	1.894203	2.0394354	2.0229352	2.054004	1.9950045	1.982761	1.6736903
20	1.936557	1.9793488	2.0273566	2.0166924	2.0026467	2.0065596	1.9463887	1.9419193	1.7029316
24	1.8356742	1.9516732	1.8792236	1.9857734	1.975541	1.9785316	1.9243742	1.9295397	1.7039407
28	1.7129751	2.004741	1.8821758	1.9241167	1.9390384	1.9300578	1.8664157	1.894827	1.6544304
32	1.543839	2.0137265	1.6858584	1.9303168	1.8262305	1.7618873	1.767519	1.7412947	1.6137613
