# Benchmark Sum function (n = 1,049,810)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 32	WorkAssisting 1	WorkAssisting 32
1	1.0009568	1.0067868	1.0050731	1.0009232	1.0012088	1.0014442	0.99426454	0.9761024	0.9706055
2	0.9958253	1.0037029	1.6309484	1.4973636	1.4853172	1.4832484	1.9566245	1.4603292	1.4311016
3	0.9942811	1.0038718	1.5378307	1.9846907	1.9905869	1.992782	2.3998551	1.9438685	1.8018491
4	0.9934695	1.001949	2.0184126	2.0525935	2.4510481	2.460859	2.4902494	2.5401032	2.1804023
6	0.9880049	1.0018144	2.9772341	3.4323702	3.4701192	3.3817625	3.3564475	3.419577	3.0346546
8	0.98302126	0.9997653	3.5736802	5.2397857	4.3819532	4.286515	4.3522115	4.334811	3.8488448
10	0.9747144	0.99924594	4.44698	6.1263614	5.5175796	5.4138904	5.54993	5.1157246	4.6142063
12	0.97013175	0.99749094	5.233348	6.8702765	6.5060005	5.9166584	6.0628304	5.9616117	5.7779284
14	0.9725842	0.9958752	5.1828613	7.7336273	7.1995654	6.274621	6.6378007	6.3684325	5.750627
16	0.9669229	0.9961413	5.1783605	8.164567	6.8980913	6.744402	7.300037	7.4964175	6.06468
20	0.96033627	0.994248	6.5366654	8.773577	8.17464	7.394172	8.517926	8.314836	6.853695
24	0.95292425	0.9912731	7.4973598	10.239354	9.014966	8.491243	9.38084	9.175873	7.653234
28	0.9460909	0.98959523	7.4870057	10.811095	10.609144	10.319086	10.944026	11.722823	9.271455
32	0.93378013	0.9865012	8.328771	9.247015	11.38488	10.253439	11.365352	12.661146	9.035455
