# Benchmark Sum function (n = 1,049,810)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.98361135	1.0179374	1.0176117	1.0137882	1.0136693	1.0167046	1.0155258	0.9906245	0.9902999
2	1.0143497	1.2438618	1.964569	1.7358762	1.4948801	1.5111767	1.5092144	1.9384823	1.4774488
3	1.4312644	1.4702247	1.5563968	2.4461894	1.9899249	2.022894	2.0258775	2.0273044	1.9664227
4	2.063646	2.073558	2.046595	2.7725124	2.4805253	2.6448734	2.5036454	2.561692	2.5828204
6	2.9456086	3.088614	2.8669417	3.8458798	3.433587	3.5267549	3.3520799	3.434758	3.3800123
8	4.3480577	4.065519	3.6689126	5.028538	4.369749	4.3919773	4.295522	4.3881507	4.2302794
10	6.762672	4.0399733	4.9084706	5.9050317	5.2913675	5.3094964	5.5899	5.2964683	5.1758156
12	8.391835	4.83388	5.3291597	7.114538	6.051061	6.191149	6.0480337	6.076614	6.0699005
14	9.047605	5.556495	4.996941	7.766384	6.471571	6.686359	6.448096	6.649576	6.7702475
16	9.104851	6.306793	5.775251	8.19054	6.9277854	7.1932874	6.9317584	7.0828547	7.269425
20	9.054382	6.143322	6.9174776	9.06117	7.8900785	8.026295	8.272379	7.9638953	8.101608
24	7.729633	6.9016786	7.6824713	10.297836	9.057096	9.04896	9.00447	8.948475	9.082957
28	6.857824	7.4495254	8.737603	10.838953	9.886799	9.824122	9.737071	9.704239	9.851345
32	5.6163926	8.1972065	8.476578	14.6551895	10.510957	11.855237	10.725466	12.301649	10.197064
