# Benchmark Sum function (n = 263,378)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 32	WorkAssisting 1	WorkAssisting 32
1	1.0106838	1.0180937	0.66313255	0.51793045	0.518516	0.509201	0.5153558	0.45905617	0.97891605
2	1.0031813	1.0121707	0.94035786	1.01543	1.0299401	0.9881831	1.0211158	1.0932467	1.8765187
3	0.9951348	1.0102116	1.4005737	1.527038	1.5210532	1.4666667	1.486107	1.50577	2.176902
4	0.9890871	1.0068516	1.8585461	1.8811831	1.9952544	1.9978881	1.9485067	1.9407617	2.4907026
6	0.9781569	1.0015881	2.5281444	2.9169397	2.8650389	3.6402116	3.165865	2.8440435	3.224542
8	0.9637695	0.99894404	3.698021	3.7107134	3.7483902	4.3847046	3.719833	3.637587	4.0919166
10	0.9548322	0.9944156	4.146849	4.5358105	4.5700483	5.041972	4.411542	4.5978127	4.821918
12	0.94111794	0.99044627	4.5317364	4.628746	5.1048903	5.6859503	4.9528794	5.2193103	5.3883944
14	0.9342633	0.98471147	4.6759343	6.155348	5.2886095	5.887203	4.611822	5.5100107	5.3654733
16	0.9265426	0.98324025	4.6773796	6.037495	5.4115124	6.0495605	5.839506	5.8215384	5.641446
20	0.90073794	0.97168905	4.1812153	6.381113	5.783722	6.193126	5.987342	6.081157	6.0423155
24	0.87887585	0.9615043	5.3370943	6.3357053	5.6372437	6.2545457	5.961402	5.9897113	5.9101915
28	0.8526844	0.95392954	5.279386	6.644425	6.7151732	7.405088	6.8612876	6.9847717	7.007407
32	0.83027977	0.9424658	4.5950212	6.402707	4.6600986	5.853055	7.020408	4.3923388	6.586597
