# Benchmark Compactions (n = 4,194,304, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	1.223179	1.3897022	1.1440223	1.2183143
2	2.311426	0.94684744	2.1428204	2.2797918
3	2.9363992	1.3575857	2.8072977	2.9223926
4	3.2382374	1.7658948	2.922906	3.1849465
6	3.310098	2.4471972	3.1177297	3.3162534
8	3.334747	2.8500407	3.1805847	3.3510847
10	3.2967665	3.0120344	3.1825106	3.3108113
12	3.2797675	3.0982394	3.1991286	3.2647564
14	3.2250085	3.0901384	3.1796227	3.2496705
16	3.2030277	3.0856984	3.1461651	3.2521045
20	3.1946256	3.0736842	3.147851	3.197029
24	3.1547124	3.0556736	3.0557673	3.170638
28	3.0988643	3.0230215	3.066982	3.1400318
32	2.7124057	2.8650448	2.8373678	2.964379
