# Benchmark LUD (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64	WorkAssisting
1	0.8375213	0.8967511	0.888646
2	1.2261649	1.3167893	1.3131875
3	1.6084756	1.5077175	1.7722667
4	1.500898	1.7801665	2.5986986
6	2.1054866	2.305794	3.1455357
8	2.8165138	3.3239303	3.7519953
10	3.023516	3.8342395	4.0015073
12	3.3791838	3.8911018	4.1689606
14	3.947258	3.5548642	4.2845345
16	3.9614642	3.8193128	4.0744853
20	4.0594583	3.7651427	4.5635552
24	3.4862108	3.4209368	3.8345654
28	3.8138258	3.750748	4.0977936
32	3.5328794	4.01575	3.9856045
