# Benchmark Primes (2 .. 1,048,578)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Sharded SS 1	WorkAssisting 1
1	0.9984462	1.0020895	1.0023985	0.9891818	1.0008866	1.0021945
2	0.9969278	1.0012748	1.5563225	1.9335521	1.9538856	1.9491535
3	0.9956091	1.0000985	2.12483	2.8361216	2.914732	2.8549478
4	0.99518245	1.0001477	2.3497572	3.500829	3.851758	3.787067
6	0.99108136	0.9983665	3.2130716	4.0016494	4.7971377	4.7080884
8	0.98837596	0.9984155	3.6166356	4.936388	5.8210106	6.0039515
10	0.98576903	0.99681777	3.9160545	6.396813	6.460105	6.428684
12	0.98167384	0.9988572	3.8615472	7.4929714	7.146468	6.5724044
14	0.97947365	0.9973131	3.6358047	8.139331	7.1653666	6.5136824
16	0.9761802	0.997717	4.3140507	8.820737	7.1615787	6.580385
20	0.9757056	0.9970562	3.763049	9.191779	7.117995	6.134674
24	0.9658112	0.99600554	4.7830243	10.533563	8.11617	7.402559
28	0.9611746	0.99599946	4.9741464	10.465079	8.820258	7.813852
32	0.95639104	0.9940203	6.171	13.188529	11.252422	9.335343
