# Benchmark Scans (n = 4,194,304, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	1.0361435	1.0266238	1.019043	1.0297831
2	1.3745285	1.1164173	1.3632553	1.3715111
3	1.4820333	1.3118154	1.4750524	1.4812716
4	1.4576414	1.3741562	1.4521171	1.46705
6	1.4122264	1.3739775	1.4088067	1.4195452
8	1.4272933	1.3864899	1.4345096	1.4365733
10	1.4131234	1.3720601	1.4218049	1.4223152
12	1.4117863	1.3492022	1.4042207	1.4018304
14	1.3905487	1.3395404	1.4009168	1.3973359
16	1.3853086	1.3633871	1.3916473	1.3944935
20	1.3845373	1.3533196	1.3816413	1.3745881
24	1.3707403	1.3451667	1.3703551	1.363651
28	1.3461232	1.3370548	1.3472242	1.3444536
32	1.2020985	1.2420672	1.2648475	1.2905376
