# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Multi-atomics 64	WorkAssisting
1	1.0029985	0.94144624	0.9333432	0.9427378
2	1.5068885	1.6914145	1.4639682	1.4756547
3	1.9362941	1.8348571	1.8536328	1.9212886
4	1.9326241	1.9627445	2.0348258	2.3076363
6	2.2761476	3.1127524	2.6824508	3.0756507
8	2.6851852	4.633878	3.5667136	4.0703063
10	3.0732584	5.647164	4.317716	4.9992094
12	3.1815207	6.209606	5.088538	5.4911838
14	3.0378165	6.7020035	5.4420247	5.955723
16	2.9875715	6.760774	5.916152	6.2743154
20	2.7573273	7.2842493	6.6386642	7.370016
24	2.5794606	8.018772	7.472813	7.9163537
28	2.563354	8.174295	8.049401	8.72361
32	2.5098257	8.626006	10.019017	9.054712
