# Benchmark Sort (n = 262,144)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Multi-atomics 64	WorkAssisting
1	0.4733612	0.46338472	0.5383547	0.482762
2	1.0831617	0.9928557	0.9241531	1.008144
3	1.41617	1.4130455	1.5514481	1.4377317
4	1.7241338	2.1784976	1.9352338	1.9662306
6	2.2178562	2.8935375	2.6333573	2.723424
8	2.5172591	3.4800377	3.2533128	3.3029149
10	2.7054179	4.031472	3.7397816	3.9997284
12	2.6915767	4.112507	4.148409	4.7796884
14	2.7224174	4.377712	4.261209	4.902163
16	2.6040304	4.4666467	4.3634477	5.0937066
20	2.6155894	4.5606813	4.9867973	4.897274
24	2.3438346	4.371217	4.609199	4.7921276
28	2.1564925	4.286005	5.2163596	5.264832
32	2.1125772	3.0947478	4.990176	4.302278
