# Benchmark Sum array (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Sharded SS 1	WorkAssisting 1
1	0.9903101	0.9759705	0.84674376	0.56135195	1.5095494	1.5088238
2	0.98300004	0.9707104	1.6594669	1.1033392	2.285759	2.1014729
3	0.9768817	0.96389717	2.019206	1.6599683	2.8058996	2.3795755
4	0.931849	0.9588079	2.421534	2.0886881	3.0526536	2.605597
6	0.95493263	0.94882977	2.8473501	2.7625093	3.2346532	2.939925
8	0.93825525	0.94026273	2.6944206	3.0286698	3.1711648	2.9553463
10	0.92814904	0.9297986	2.6362329	3.0539262	3.07702	2.9277816
12	0.9174147	0.92064357	2.7217886	3.026584	3.074437	2.9122598
14	0.91360027	0.91132677	3.0926108	2.9960458	3.0471501	2.777174
16	0.90595365	0.9037552	2.679961	2.9258323	2.964517	2.8972838
20	0.8881927	0.8921959	2.7566178	2.937174	2.9458373	2.8374226
24	0.868601	0.88697374	2.879062	2.8551195	2.8016064	2.7552352
28	0.85071045	0.8906769	2.8580906	2.8253825	2.8134444	2.7103736
32	0.8315861	0.8918338	2.3654861	2.5717463	2.7705207	2.7418268
