# Benchmark Sum function (n = 1,049,810)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64	WorkAssisting
1	0.9783951	0.95804197	1.0057924	1.0011564	1.0019121	0.97604495
2	0.9991135	1.3502419	1.7275567	1.8649931	1.4937108	1.4548908
3	1.5350535	1.5226879	1.5173115	2.1753953	1.9906021	1.9303257
4	2.0296986	2.0087435	1.8741803	3.3680294	2.4819047	2.3867977
6	2.8996117	2.9503112	2.761535	4.4390607	3.53026	3.3308425
8	4.092074	4.033493	3.7179136	5.5220485	4.815543	4.2717586
10	7.1879663	3.974185	4.446661	6.2474637	5.639883	5.178776
12	8.472624	4.5513563	5.231389	7.0932193	6.3639464	6.0014067
14	8.824347	5.509824	6.088889	7.677635	6.757014	6.414519
16	9.555591	6.2253256	5.6430798	8.155653	7.1245227	6.8720665
20	8.806133	6.01228	6.504628	8.971463	8.608157	7.763452
24	7.8522415	6.816387	7.7232995	10.134374	9.37708	8.538022
28	6.6964126	7.3084545	8.340129	10.909954	10.002009	9.047562
32	5.6828084	7.5792413	8.846564	11.4057665	11.1398735	10.025512
