# Benchmark Sum function (n = 263,378)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64	WorkAssisting
1	0.49733347	0.99668086	0.6563497	0.6160348	0.6594633	0.9736074
2	0.9815638	0.93527687	0.9212738	1.0925629	1.1009753	1.8840507
3	1.2483579	1.3874873	1.3859503	1.5844238	1.5782614	2.330281
4	1.9938911	1.9493638	1.8476496	2.0513732	2.0466194	2.731308
6	2.7447898	2.9468105	2.7115767	2.9962084	2.9520252	3.5781696
8	3.7942886	3.784724	3.6512647	3.7544386	3.7283337	3.941717
10	5.099864	3.7469428	4.1089215	4.8307595	4.419782	4.481791
12	6.056474	4.330545	4.6962776	5.4319825	4.951847	5.439855
14	7.012611	4.8385434	4.138368	5.702241	5.1772413	5.606423
16	6.880843	5.2884817	4.4354506	5.6742253	5.3184557	5.695751
20	5.8058777	4.531844	4.8075566	6.049154	5.540221	5.8924646
24	4.2103195	4.7739267	5.3583155	6.327012	5.367894	5.821636
28	3.2653327	6.2428274	5.0860434	6.008003	5.2186303	5.548411
32	2.2580838	7.2812805	4.281152	4.649737	4.9980025	6.125663
