# Benchmark Compactions (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 32	WorkAssisting 32
1	0.6174048	1.3012598	1.1072845	1.2848188
2	0.8724975	0.917471	1.0995809	2.3471105
3	0.8698362	1.142086	0.8074603	0.87081784
4	0.8705289	1.3700261	0.7082771	0.9125565
6	0.86960554	1.8586001	0.6756979	0.87070227
8	0.8735433	2.3115418	0.6920601	0.962224
10	0.87104917	2.6651769	0.69089377	1.0534008
12	0.8694327	2.81623	0.68749017	1.2560322
14	0.61708534	2.7283695	0.5915404	1.0524712
16	0.6009712	2.725535	0.5321056	1.0100093
20	0.5803398	2.7582002	0.49704456	1.0745413
24	0.54694796	2.662472	0.49986663	1.1202391
28	0.54267156	2.5843184	0.49438456	1.1350696
32	0.5188877	2.6826177	0.6956568	1.2241508
