# Benchmark LUD (n = 256, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.95863307	1.0140791	1.0558637
2	1.2696522	1.3583078	1.3930998
3	1.3527919	1.5512223	1.5825416
4	1.4004204	1.5958084	1.6481138
6	1.5910448	1.7579156	1.7305195
8	1.6771555	1.8316151	1.9424198
10	1.768414	1.8316151	2.029703
12	1.775483	1.8455678	1.9726129
14	1.5685698	1.706146	1.5685698
16	1.4483696	1.5307294	1.5142045
20	1.0242121	1.4078183	1.3439233
24	1.2004504	1.2124659	1.2523496
28	1.1945316	1.201533	1.2281106
32	1.1099542	1.1622329	1.1907953
