# Benchmark Primes (2 .. 1,048,578)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.96823996	1.0054492	1.0178517	1.010391	1.0105205	1.0102555
2	1.6790669	1.3392824	1.5845686	1.9668107	1.968727	1.9392109
3	2.0593345	1.8055137	2.163109	2.8901951	2.9327056	2.6864471
4	2.549696	2.3765347	2.4256601	3.5493007	3.883558	3.3852692
6	3.2900202	2.8495855	3.084019	4.0858135	4.8264494	3.919107
8	3.841866	3.2146988	3.7057614	5.2270417	5.9131365	4.2136154
10	4.3304586	3.5969956	4.1354766	6.7147026	6.805438	4.308388
12	5.5999727	3.6572564	3.9396071	7.9130807	8.027325	4.3989806
14	7.3396235	3.842668	3.7113225	8.486146	8.012186	4.2635994
16	7.905153	4.18615	4.201542	8.89335	8.021495	4.014829
20	8.056599	4.6562314	3.7865534	9.552724	8.1026945	3.8379505
24	7.8463798	5.4027653	4.7293277	11.069009	8.934591	3.9266298
28	7.534537	5.243252	4.854874	11.759545	8.863379	3.9539912
32	7.8230405	5.9614305	5.575289	12.967989	9.951471	5.713517
