# Benchmark Scans (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 32	WorkAssisting 32
1	1.2370373	1.2257088	1.1984253	1.2070031
2	1.6115649	1.3298188	1.5957105	1.5855321
3	1.7469252	1.5595641	1.6411362	1.5390909
4	1.7363074	1.6331542	1.6874738	1.638607
6	1.7191907	1.637976	1.6106156	1.486698
8	1.6273568	1.6526854	1.614726	1.4026676
10	1.7042272	1.635282	1.6119381	1.3989
12	1.6882925	1.6076056	1.5730547	1.4256531
14	1.6835034	1.5942484	1.5763584	1.4616911
16	1.6043042	1.6193024	1.568607	1.4044688
20	1.5930542	1.607977	1.5633538	1.2708576
24	1.5844492	1.6046069	1.546584	1.2622459
28	1.5760988	1.5880975	1.5473654	1.2895234
32	1.5337567	1.4913316	1.3927414	1.2084892
