# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Sharded SS 32	WorkAssisting 32
1	1.002286	0.91003025	0.9064176	0.91027665
2	1.4055705	1.4128237	1.3971322	1.4055378
3	1.8172998	1.8214028	1.7030792	1.7146622
4	2.0907018	2.134361	1.7470405	2.0275106
6	2.5722485	3.008652	2.367902	2.6597652
8	2.961384	4.2080116	3.01585	3.3525598
10	3.3320668	5.233717	3.8586187	4.0709815
12	3.398506	5.8579726	4.494652	4.5545354
14	3.4571478	6.26561	4.684292	5.050668
16	3.3444064	6.4893823	4.891431	5.1486554
20	3.0919821	6.968444	5.5257535	5.5197043
24	2.797106	7.962495	6.1956787	6.203937
28	2.6996386	8.130476	7.0636234	6.6012435
32	2.8003426	8.895472	7.05292	7.2829804
