# Benchmark Sort (n = 262,144)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Sharded SS 32	WorkAssisting 32
1	0.508827	0.46248716	0.48105106	0.4832173
2	0.95085543	0.9269103	0.9427587	0.942122
3	1.3341622	1.3396716	1.2869004	1.2502241
4	1.6277713	1.7247775	1.6203972	1.5637261
6	2.1168437	2.4521005	2.1916733	2.129771
8	2.4499474	3.0740414	2.6470587	2.6987813
10	2.596315	3.55414	3.0618963	3.047182
12	2.6546147	3.9994266	3.3859224	3.2054229
14	2.4950814	4.253049	3.478803	3.5760062
16	2.4712136	4.6360917	3.3671253	3.5824344
20	2.3564188	4.538061	3.976625	4.0446506
24	2.1927066	4.6686745	3.7845902	3.9959898
28	1.9922879	4.482648	4.225992	4.3716702
32	1.9573452	4.2336874	4.201807	3.3429189
