# Benchmark Sum array (n = 67,110,098)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.5386349	0.7900493	0.93450207	0.6930234	0.8165485	0.86298937
2	0.87488943	1.0516704	1.0892172	1.0829651	1.2835914	0.7882253
3	1.0609694	1.5170335	1.3087208	1.3616637	1.5726036	0.29886925
4	1.6203176	1.9631709	1.6214168	1.5590106	1.795967	0.24734567
6	2.1017222	2.195025	1.8796618	1.9539416	2.0692692	0.29866073
8	2.165685	2.2032883	1.8352746	2.100183	2.0758595	0.4009395
10	2.1307676	2.0177302	1.8054646	2.1152086	1.9345655	0.50237364
12	2.1136498	2.15042	1.9508843	2.061534	1.9634397	0.58025616
14	2.1023386	2.1283953	2.0916052	2.0468204	1.9218603	0.6565927
16	2.0636108	2.103881	1.7932717	2.0534155	1.8810179	0.73334014
20	1.9350877	2.023996	1.9788849	2.0016751	1.8231405	0.832888
24	1.8505517	1.9653234	1.8934373	1.977384	1.7997992	0.9327392
28	1.7083458	1.9508843	1.8454311	1.8960661	1.7103835	1.0132136
32	1.533993	2.000279	1.7101794	1.7659955	1.5883689	1.0515547
