# Benchmark Sum function (n = 1,049,810)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Sharded SS 32	WorkAssisting 32
1	1.0017949	1.0049474	1.0055735	1.000268	0.9962299	0.9713407
2	0.9960471	1.0011903	1.70159	1.4967543	1.4918188	1.4319386
3	0.99415684	1.0004523	1.5364172	2.0985699	1.9852071	1.794495
4	0.99281806	0.999247	1.9876518	2.4768362	2.4646719	2.1898353
6	0.9859013	0.9976945	2.7746596	3.4459896	3.445592	3.0385163
8	0.98101026	0.99621326	3.7530794	5.07901	4.370856	3.9604084
10	0.9721946	0.99561536	4.487114	6.1616797	5.2942376	4.696367
12	0.9684267	0.99443823	5.292361	6.992857	6.14014	5.5167665
14	0.9717359	0.9932805	4.925278	7.566071	6.9416485	5.964742
16	0.966624	0.9908578	5.40835	7.9945116	7.629871	6.1923475
20	0.9586022	0.9891182	6.7152815	8.6725235	8.311622	7.1077123
24	0.95156074	0.98666686	7.0282454	10.353502	9.150935	7.8691525
28	0.9440545	0.98426014	8.481607	11.052934	10.883725	9.495787
32	0.9325848	0.9813004	8.572926	11.042714	13.081927	10.125297
