# Benchmark Sum function (n = 263,378)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Sharded SS 32	WorkAssisting 32
1	1.0064939	1.0143582	0.5205456	0.5192998	0.5213496	0.4995067
2	1.001913	1.0094371	1.036721	1.0317913	1.027742	0.98649085
3	0.9935243	1.008164	1.5393736	1.5046062	1.4822875	1.3541054
4	0.98886716	1.0049623	1.9161094	1.98887	1.9540718	1.7649314
6	0.97697306	1.0017147	2.7274196	2.942464	2.8438494	2.6540277
8	0.9643197	0.99671894	3.7512965	3.739291	3.7736647	3.4132583
10	0.952826	0.9942397	4.441228	4.761442	4.5819006	4.001317
12	0.9460604	0.98848104	5.0261416	5.440186	5.2448206	4.783937
14	0.9337883	0.984764	4.004482	5.720904	5.3520083	5.009565
16	0.9236242	0.98253447	5.16457	6.0902166	5.561699	5.216003
20	0.9007294	0.97352904	5.024479	6.4469438	5.67177	5.6110086
24	0.8746905	0.9627306	5.09527	6.69709	7.267464	5.471542
28	0.8564904	0.95354384	4.6592026	6.279041	7.327062	6.4305673
32	0.8307263	0.9407866	4.8527155	4.2498603	7.171388	6.5724792
