# Benchmark Compactions (n = 4,194,304, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.827267	1.3177168	1.0816654	1.303303	1.0628775	1.1868606
2	1.6102666	0.90180653	1.9904451	2.2490046	1.961665	2.193221
3	2.265494	1.3011935	2.6514118	2.7983186	2.6247578	2.836337
4	2.7650895	1.685467	2.7649317	2.9672697	2.804476	3.043675
6	3.084968	2.3356602	2.9520326	3.0480325	3.0842314	3.1740746
8	3.2177784	2.7457306	2.971092	3.1174834	3.1186876	3.226191
10	3.1710615	2.9112656	3.078889	3.0599718	3.1086793	3.1568005
12	3.15305	3.0016112	3.04693	3.026085	3.0826612	3.1134753
14	3.0996768	3.0004027	3.049808	3.0442011	3.0642793	3.097001
16	3.0829554	2.9936337	3.0143611	2.9993808	3.0390913	3.0657825
20	3.0761511	2.977439	2.986665	2.9957168	3.0258484	3.0224497
24	3.0377572	2.9642732	2.908818	2.8949091	2.9479003	2.990584
28	3.00865	2.9457488	2.9019337	2.922288	2.9359722	2.9720948
32	2.632211	2.7792506	2.7449913	2.7321007	2.730214	2.7948067
