# Benchmark LUD (n = 256, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.94055045	1.0078647	0.3924361	1.0062819	1.013845
2	1.2484169	1.4059243	0.58906	1.3170606	1.3496578
3	1.3043257	1.4953326	0.70238423	1.3575212	1.4988304
4	1.3575212	1.6028768	0.7792642	1.5968847	1.5514528
6	1.569504	1.7018592	0.96571213	1.7960757	1.7305875
8	1.6664499	1.3997816	1.0809785	1.8859456	1.747103
10	1.7109479	1.9299699	1.161305	1.8694384	1.8505415
12	1.7236046	1.781098	1.0577797	1.4005464	1.8100282
14	1.0679166	1.4342474	1.2576056	1.5246876	1.1987839
16	1.485797	1.3355914	1.1265934	1.426266	1.4090159
20	1.314359	1.286001	1.003917	1.3328133	1.0448431
24	1.1618314	1.1477833	0.84615386	1.175149	0.7947287
28	1.1206821	1.152428	0.8717687	1.1482975	1.159204
32	0.89240944	0.9793657	0.8283775	1.1004723	1.2066855
