# Benchmark Primes (2 .. 1,048,578)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.9975844	0.9958204	0.9923049	0.9819776	0.9919627	0.98922104	0.9926168	0.9911203
2	0.99594355	0.9943449	1.5512685	1.9257727	1.9279165	1.9359344	1.9438785	1.9299725
3	0.9952235	0.994216	2.090927	2.828875	2.876364	2.884813	2.9030118	2.7594702
4	0.9939767	0.99382955	2.4194381	3.4130535	3.780532	3.8163638	3.8302498	3.5760562
6	0.9904742	0.99351686	2.9418254	3.833258	4.6630573	4.6103334	4.7672634	4.3951974
8	0.9881832	0.99182826	3.6930661	5.455845	5.5553946	5.1958838	5.666608	5.2208104
10	0.98537195	0.9912118	3.747371	6.3771777	6.486589	6.916688	6.873298	6.0325108
12	0.9798866	0.99098	3.8440535	7.9110956	7.385116	7.5990562	8.151736	6.8859344
14	0.9791003	0.9920054	3.6051123	8.486774	7.3093715	7.4659066	8.225002	6.9510164
16	0.97356665	0.99088854	4.018914	9.2389145	7.4017463	7.4534683	8.407036	6.9573216
20	0.97555983	0.99010277	3.8503945	8.8588085	7.391895	7.506968	8.220385	7.078715
24	0.96398133	0.98942155	4.977194	10.722455	8.345181	8.614784	9.319099	7.9372168
28	0.9592791	0.98845	5.37124	11.48474	8.871495	9.454769	9.888991	8.367291
32	0.955404	0.98745614	4.9765787	12.308904	10.431477	11.462671	11.2788515	9.115513
