# Benchmark Scans (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	1.0488584	1.29132	1.2897248	1.2725762	1.2968609	1.2761111
2	1.4442908	1.4979783	1.6169224	1.4135385	1.4537975	1.6558535
3	1.4334748	1.7004738	1.3885866	1.3322121	1.363043	1.5839194
4	1.4322234	1.8515234	1.3121215	1.1823142	1.2421588	1.5418177
6	1.4501263	1.889291	1.3085337	1.2102213	1.2828102	1.7383078
8	1.4412097	1.91321	1.3101757	1.219085	1.2978867	1.7967772
10	1.451776	1.8939644	1.2490484	1.2292626	1.2830969	1.7475654
12	1.4444724	1.8593168	1.2594583	1.2150867	1.2694815	1.7317551
14	1.407303	1.8095163	1.1779487	1.0637214	1.1746957	1.7169981
16	1.3949957	1.8455728	1.1231176	1.0009587	1.1358916	1.7224056
20	1.3741325	1.8083767	1.0796202	0.9026959	1.071262	1.6722481
24	1.3268254	1.7748415	1.0782013	0.9160153	1.0537664	1.6553762
28	1.071262	1.5735033	1.0765842	0.9070447	1.0380514	1.5913814
32	1.0622456	1.7422633	1.0649049	0.8842778	1.294522	1.6421218
