# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	1.0150275	0.92680454	0.9358609	0.944586	0.9276504	0.9412705
2	1.5003452	1.4422804	1.4564133	1.4706541	1.821569	1.4863672
3	1.8409383	1.8325337	1.9200816	1.8815012	1.8018299	1.8783047
4	2.1346455	2.2088678	1.8766266	1.8304046	1.8832442	2.296025
6	2.6958847	3.2995968	2.677444	2.6637502	2.5959384	3.1089787
8	3.0865946	4.158572	3.4996946	3.4299788	3.354394	4.267556
10	3.3917654	5.3569365	4.284675	4.175933	4.18314	4.8715987
12	3.5992346	5.980167	5.3149195	4.9597826	5.1222467	5.5982056
14	3.6101627	6.498814	5.561645	5.382099	5.3862395	6.09645
16	3.4240153	6.6279974	5.8819304	5.861687	5.9017606	6.411537
20	3.3133018	8.043267	6.800367	6.1183496	6.476107	6.930496
24	2.9900835	8.700677	7.5662146	6.840968	7.374956	7.4490542
28	2.7205577	8.832376	8.588035	7.1119514	8.668364	8.4261265
32	2.7446103	9.753754	7.5780425	8.795394	8.7404995	8.759939
