# Benchmark Sort (n = 262,144)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.52549607	0.5047993	0.5082193	0.4897594	0.46802852	0.4638709
2	0.98356074	0.9882967	0.99979705	1.0033268	0.99074817	1.09491
3	1.311618	1.8161484	1.4200058	1.4230139	1.589545	1.9408983
4	1.6772217	2.5457366	1.798029	2.0642548	2.607729	2.2627468
6	2.1751544	2.8773365	2.7155457	2.543108	2.9211307	2.9704523
8	2.4695857	3.4804523	3.092926	3.2971888	3.4503853	3.491966
10	2.7983336	3.794095	3.5583916	3.7205439	3.8484375	4.1616445
12	2.8628438	4.0710745	3.8605015	4.0201306	4.033297	4.3657312
14	2.6225376	4.272333	3.8848581	3.9832885	4.8691926	4.466002
16	2.635634	4.3439155	4.2234926	4.101582	4.8215337	4.489064
20	2.4967055	4.373483	4.2271166	4.0554338	4.8388996	4.4904284
24	2.3265114	4.4179373	4.1198773	4.5345197	4.7778854	4.5041146
28	2.282669	4.2551107	4.7856216	4.7563567	5.257204	5.060959
32	2.1498399	3.1911035	4.8998675	4.605173	5.0523076	5.0248213
