# Benchmark Sum array (n = 67,110,098)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.7873421	0.99788386	1.006635	0.9434396	1.1956484	1.1903056	1.1995531	1.1971251
2	1.5075388	1.3052179	1.6851789	1.6555961	1.8118801	2.0931559	1.815179	1.3389226
3	1.6656325	1.4719281	1.4762248	1.955121	2.1752276	2.280719	2.2152743	1.2877334
4	2.4757006	1.961385	1.8873384	2.1131835	2.4713173	2.4866385	2.440551	1.3422186
6	2.5504313	2.6757917	2.3103151	2.4347613	2.5626056	2.5963542	2.6056602	1.6690582
8	2.6236842	2.6774342	2.1782148	2.5515501	2.590764	2.5779402	2.5714812	1.9760462
10	2.603716	2.3123055	2.2043588	2.5661862	2.5100706	2.5030487	2.5151362	2.033271
12	2.5707235	2.5209508	2.356974	2.493925	2.4676473	2.4864614	2.4638143	2.0608907
14	2.5153174	2.5896103	2.4451685	2.486107	2.4434564	2.4366314	2.4463685	2.108332
16	2.5133247	2.561101	2.1252816	2.4772825	2.416384	2.434082	2.4339123	2.1210186
20	2.3744557	2.393347	2.3736482	2.4268029	2.3712287	2.3895774	2.3611205	2.1526835
24	2.2361422	2.3925266	2.2606244	2.4092102	2.3181427	2.3314626	2.3430471	2.1721132
28	2.0699372	2.3874521	2.2820613	2.335676	2.2397304	2.2846012	2.281912	2.1884604
32	1.8897915	2.4645102	2.022078	2.1541452	2.288947	2.0849018	2.0060363	1.9930888
