# Benchmark Sum function (n = 1,049,810)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.94104093	0.99882746	1.005531	0.9981754	0.99921244	1.0005369	1.0024713	0.97310615
2	1.0187416	1.9383045	1.9022554	1.8891177	1.5554165	1.4958733	1.4995222	1.4477166
3	1.6278561	1.5024693	1.5325897	2.4847903	2.0240319	2.0001342	2.0047066	2.3664577
4	2.0300956	2.0417736	2.0268524	3.428785	2.6601534	2.4964414	2.4919553	2.8312995
6	2.8322408	2.9891222	2.8240588	4.1016645	3.6056354	3.3727376	3.4060662	3.675419
8	4.338305	4.028782	3.7364497	5.3222065	4.4583178	4.4460187	4.2942533	4.9407573
10	6.539811	3.9724202	4.557823	6.234839	5.4701405	5.249582	5.229784	5.8255177
12	8.1920595	4.7684927	5.3494215	7.061819	6.291412	6.109631	6.0390925	6.6189365
14	9.052679	5.4963593	6.2407117	7.7091146	6.746238	6.6233478	6.5592346	7.397345
16	9.0844	5.838637	5.417954	8.126192	7.2533755	7.050964	6.9848895	7.8182774
20	8.744684	6.1888947	6.6595936	8.890711	8.33054	7.925306	7.794771	8.538087
24	7.564379	7.035158	7.6116924	10.210616	9.554559	8.827536	8.645788	9.424687
28	6.8383026	7.50913	8.309643	10.889336	10.354228	9.223511	9.390552	10.268641
32	5.719904	7.702144	7.992226	10.074337	12.695337	11.29784	11.81026	12.236815
