# Benchmark Sum function (n = 263,378)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.87934357	0.8330751	1.0061476	1.0024633	1.0023967	1.0007311	1.0066185	0.97085565
2	1.1437144	0.9500284	1.1379232	1.4671149	1.4502985	1.5290952	1.5710559	1.4849112
3	1.2992493	1.3992194	1.5055494	1.9008963	1.9220066	1.9903502	2.0606267	1.9311273
4	2.0003986	1.8355479	1.950136	2.3764205	2.3592918	2.4631114	2.5225332	2.507828
6	3.1394913	2.8281367	2.6045666	3.293307	3.2640364	3.3334072	3.7765236	3.3165197
8	4.6572843	3.5884175	3.48461	4.130864	4.326724	4.119562	4.288522	4.153655
10	5.576667	3.478974	4.2860804	4.8665156	4.922197	4.5793796	4.920588	4.8166986
12	6.630119	4.103843	4.6572843	5.5397353	5.2028337	5.12666	5.4593906	5.2573323
14	7.1023583	4.749842	4.8151584	5.8067875	5.8067875	5.2980294	5.757935	5.6818867
16	6.9483156	5.5704775	4.6731844	6.015581	5.893151	5.331799	5.909341	5.8067875
20	5.958449	4.647222	5.3488455	6.4126916	6.1107955	5.7645483	6.020392	6.0885563
24	4.6286507	5.1529775	5.2850122	6.659443	6.173432	5.6372147	6.371985	5.8473787
28	3.270417	5.6224794	5.3355775	6.423635	5.742563	5.626682	6.4622316	6.3558464
32	2.339133	6.175964	4.401345	6.1557646	5.8112698	6.5351563	5.8023124	7.3163266
